央视,#genre#
重庆汽摩,&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000371.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000371?AuthInfo=xxx&userid=
重庆汽摩,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000364.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000364?AuthInfo=xxx&userid=
重庆文体娱乐,CCQTV6&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000370.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000370?AuthInfo=xxx&userid=
重庆文体娱乐,CCQTV6&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000254.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000254?AuthInfo=xxx&userid=
重庆时尚生活,CCQTV8&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000369.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000369?AuthInfo=xxx&userid=
重庆时尚生活,CCQTV8&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000252.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000252?AuthInfo=xxx&userid=
重庆社会与法,CCQTV5&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000375.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000375?AuthInfo=xxx&userid=
重庆社会与法,CCQTV5&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000255.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000255?AuthInfo=xxx&userid=
重庆时尚购物,&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000366.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000366?AuthInfo=xxx&userid=#
中数,#genre#
CCTV第一剧场,CCTVPAYFEE3&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000410?AuthInfo=xxx&userid=
CCTV风云剧场,CCTVPAYFEE4&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000409?AuthInfo=xxx&userid=
